video_id,group_id,Question,Answer Options,Correct Answer
OP01-R01-PastaSalad,"OP01-R01-PastaSalad-448690-453390_9601.png
OP01-R01-PastaSalad-453990-461530_9779.png
OP01-R01-PastaSalad-461745-462575_9902.png
OP01-R01-PastaSalad-465585-466945_9935.png
OP01-R01-PastaSalad-466940-468190_9974.png
OP01-R01-PastaSalad-468190-470350_10025.png
OP01-R01-PastaSalad-471335-478965_10167.png
OP01-R01-PastaSalad-480380-482380_10308.png
OP01-R01-PastaSalad-484335-485455_10354.png",What did the viewer look at immediately after cutting the cucumber in Frame 4?,"A: The plate with the cut pieces of cucumber.
B: The onion on the plate.
C: The knife in their hand.
D: The lid on the countertop.
E: The sink.",A
OP01-R01-PastaSalad,"OP01-R01-PastaSalad-196210-199470_3126.png
OP01-R01-PastaSalad-200375-214465_3378.png
OP01-R01-PastaSalad-214500-216950_3618.png
OP01-R01-PastaSalad-217150-218240_3670.png
OP01-R01-PastaSalad-219230-221040_3712.png
OP01-R01-PastaSalad-221440-222450_3754.png
OP01-R01-PastaSalad-223965-226275_3802.png
OP01-R01-PastaSalad-226305-227875_3858.png
OP01-R01-PastaSalad-227925-229425_3903.png",What did the viewer look at immediately after cutting the tomato in the sixth keyframe?,"A: The knife on the counter.
B: The fridge door.
C: The onion inside the fridge.
D: The plate with the cut tomatoes.
E: The kitchen sink.",B
OP01-R02-TurkeySandwich,"OP01-R02-TurkeySandwich-282450-286630_5831.png
OP01-R02-TurkeySandwich-287980-288860_5906.png
OP01-R02-TurkeySandwich-290340-291320_5934.png
OP01-R02-TurkeySandwich-291340-292040_5959.png
OP01-R02-TurkeySandwich-292260-292860_5978.png
OP01-R02-TurkeySandwich-293840-295460_6011.png
OP01-R02-TurkeySandwich-296330-296890_6045.png
OP01-R02-TurkeySandwich-298170-299140_6068.png
OP01-R02-TurkeySandwich-299270-300810_6105.png",What did the viewer look at immediately after placing the lettuce on the sandwich in Frame 4?,"A: The tomato slices on the plate.
B: The deli meat on the counter.
C: The sandwich bread.
D: The kitchen sink.
E: The refrigerator.",A
OP01-R02-TurkeySandwich,"OP01-R02-TurkeySandwich-331830-342800_6909.png
OP01-R02-TurkeySandwich-342870-343900_7083.png
OP01-R02-TurkeySandwich-343940-346200_7132.png
OP01-R02-TurkeySandwich-347340-348090_7177.png
OP01-R02-TurkeySandwich-352260-361970_7329.png
OP01-R02-TurkeySandwich-362700-363970_7489.png
OP01-R02-TurkeySandwich-381920-383350_7530.png
OP01-R02-TurkeySandwich-383920-385980_7581.png
OP01-R02-TurkeySandwich-386020-387860_7639.png",What did the viewer look at immediately after putting the cheese on the sandwich?,"A: The lettuce container
B: The bread container
C: The deli meat container
D: The cheese container
E: The fridge",D
OP01-R03-BaconAndEggs,"OP01-R03-BaconAndEggs-834867-836210_16761.png
OP01-R03-BaconAndEggs-836806-838281_16803.png
OP01-R03-BaconAndEggs-839589-840771_16843.png
OP01-R03-BaconAndEggs-840882-843872_16904.png
OP01-R03-BaconAndEggs-845282-847140_16975.png
OP01-R03-BaconAndEggs-847206-892343_17654.png
OP01-R03-BaconAndEggs-892560-893429_18318.png
OP01-R03-BaconAndEggs-895964-897308_18352.png
OP01-R03-BaconAndEggs-897005-897955_18386.png",What did the viewer look at immediately after placing the cooking utensil on the stove?,"A: The bacon in the pan.
B: The egg being cooked.
C: The eating utensils on the counter.
D: The bacon container on the table.
E: The pot lid on the stove.",C
OP01-R03-BaconAndEggs,"OP01-R03-BaconAndEggs-597152-600193_14187.png
OP01-R03-BaconAndEggs-712049-713777_14257.png
OP01-R03-BaconAndEggs-714292-715706_14303.png
OP01-R03-BaconAndEggs-717440-718650_14342.png
OP01-R03-BaconAndEggs-718820-749420_14802.png
OP01-R03-BaconAndEggs-749464-750030_15252.png
OP01-R03-BaconAndEggs-750188-753636_15311.png
OP01-R03-BaconAndEggs-754029-757142_15407.png
OP01-R03-BaconAndEggs-757534-761303_15508.png",What did the viewer look at immediately after transferring the eggs from the pan to the plate?,"A: The stove's control panel.
B: The cup on the counter.
C: The spatula in their hand.
D: The pot on the stove.
E: The sink.",C
OP01-R04-ContinentalBreakfast,"OP01-R04-ContinentalBreakfast-358970-360450_6647.png
OP01-R04-ContinentalBreakfast-360595-362605_6699.png
OP01-R04-ContinentalBreakfast-367040-372980_6815.png
OP01-R04-ContinentalBreakfast-373615-374785_6920.png
OP01-R04-ContinentalBreakfast-374805-376075_6957.png
OP01-R04-ContinentalBreakfast-376195-377155_6990.png
OP01-R04-ContinentalBreakfast-377540-379070_7027.png
OP01-R04-ContinentalBreakfast-379080-386020_7150.png
OP01-R04-ContinentalBreakfast-390805-391865_7266.png",What did the viewer look at immediately after pouring milk into the bowl?,"A: The honey container
B: The salt shaker
C: The condiment container
D: The refrigerator
E: The cup",C
OP01-R04-ContinentalBreakfast,"OP01-R04-ContinentalBreakfast-255896-258106_4392.png
OP01-R04-ContinentalBreakfast-258226-264794_4521.png
OP01-R04-ContinentalBreakfast-264794-268579_4672.png
OP01-R04-ContinentalBreakfast-268579-278659_4873.png
OP01-R04-ContinentalBreakfast-278659-283132_5085.png
OP01-R04-ContinentalBreakfast-283132-292036_5279.png
OP01-R04-ContinentalBreakfast-292160-294170_5438.png
OP01-R04-ContinentalBreakfast-294230-295000_5481.png
OP01-R04-ContinentalBreakfast-294980-295810_5506.png",What did the viewer look at immediately after spreading the mixture on the bread in Frame 3?,"A: The eating utensil
B: The condiment container
C: The empty bowl
D: The bread being spread
E: The countertop",A
OP01-R05-Cheeseburger,"OP01-R05-Cheeseburger-71370-72800_643.png
OP01-R05-Cheeseburger-72850-75000_696.png
OP01-R05-Cheeseburger-75030-77270_761.png
OP01-R05-Cheeseburger-78060-79320_813.png
OP01-R05-Cheeseburger-79940-80950_847.png
OP01-R05-Cheeseburger-80980-81890_876.png
OP01-R05-Cheeseburger-82980-84370_910.png
OP01-R05-Cheeseburger-84370-86700_965.png
OP01-R05-Cheeseburger-86760-88090_1019.png",What did the viewer look at immediately after taking a patty from the container?,"A: The stove where the patty was placed.
B: The inside of the fridge.
C: The countertop near the sink.
D: The patty container lid.
E: The cooking pan on the stove.",A
OP01-R05-Cheeseburger,"OP01-R05-Cheeseburger-523160-524370_9250.png
OP01-R05-Cheeseburger-524990-525560_9278.png
OP01-R05-Cheeseburger-528670-556040_9681.png
OP01-R05-Cheeseburger-561960-563950_10103.png
OP01-R05-Cheeseburger-563950-564750_10144.png
OP01-R05-Cheeseburger-567310-569370_10187.png
OP01-R05-Cheeseburger-571320-573220_10246.png
OP01-R05-Cheeseburger-573220-574270_10289.png
OP01-R05-Cheeseburger-575880-576480_10314.png",What did the viewer look at immediately after taking the condiment container?,"A: The stove
B: The plate with bread slices
C: The bottle of mustard
D: The kitchen counter
E: The sandwich ingredients",B
